date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:45	838/838	---M--	200	added ('OK')	image/jpeg	etag:%22346-55d4e7b1ec680%22	http://www.freereikicourse.com/img/hp/base/ba29.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba29.jpg	(from http://www.freereikicourse.com/)
12:25:45	1097/1097	---M--	200	added ('OK')	image/jpeg	etag:%22449-55d4e79cf1500%22	http://www.freereikicourse.com/img/hp/base/adf1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/adf1.jpg	(from http://www.freereikicourse.com/)
12:25:46	2695/2695	---M--	200	added ('OK')	image/jpeg	etag:%22a87-55d4e79b09080%22	http://www.freereikicourse.com/img/hp/base/admfooter.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/admfooter.jpg	(from http://www.freereikicourse.com/)
12:25:46	985/985	---M--	200	added ('OK')	image/jpeg	etag:%223d9-55d4e79cf1500%22	http://www.freereikicourse.com/img/hp/base/adf2.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/adf2.jpg	(from http://www.freereikicourse.com/)
12:25:46	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-55d4e7a1b6040%22	http://www.freereikicourse.com/img/hp/base/spacer.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/spacer.gif	(from http://www.freereikicourse.com/)
12:25:46	219/219	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Nov%202017%2012:25:45%20GMT	http://de.mobilesitedesigner.com/tus/38698406/navig.js	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/de.mobilesitedesigner.com/tus/38698406/navig.51.delayed	(from http://www.freereikicourse.com/)
12:25:47	6330/6330	---M--	200	added ('OK')	text/css	etag:%2218ba-55d4e79644540%22	http://www.freereikicourse.com/img/css/constyle.css	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/css/constyle.css	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:47	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-4d843f9312a80%22	http://www.freereikicourse.com/subnavig.js	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/subnavig.53.delayed	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:47	29/29	---M--	200	added ('OK')	application/javascript	etag:%221d-55d4e75ef42c0%22	http://www.freereikicourse.com/gen_subnavig.js	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/gen_subnavig.js	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:48	320/320	---M--	200	added ('OK')	image/jpeg	etag:%22140-55d4e78cbaec0%22	http://www.freereikicourse.com/img/base/bg_body.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/bg_body.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:48	302/302	---M--	200	added ('OK')	image/jpeg	etag:%2212e-55d4e78702140%22	http://www.freereikicourse.com/img/base/bg_table.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/bg_table.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:48	52773/52773	---MC-	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202017%2012:25:37%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-12420899-9	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.googletagmanager.com/gtag/js8589	(from http://www.freereikicourse.com/)
12:25:48	98588/98588	---M--	200	added ('OK')	image/jpeg	etag:%221811c-55d4e777bfd40%22	http://www.freereikicourse.com/images/reikiFAV.jpg?250	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/images/reikiFAV6c98.jpg	(from http://www.freereikicourse.com/)
12:25:48	2064/2064	---M--	200	added ('OK')	image/jpeg	etag:%22810-55d4e78ad2a40%22	http://www.freereikicourse.com/img/base/ba51.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba51.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
